[7, 16, 48, 95, 98, 118, 135, 150]
[32, 40, 60, 95, 116, 136, 140, 150]
[20, 28, 54, 67, 76, 117, 141, 150]
[4, 9, 36, 79, 132, 133, 147, 150]
[1, 21, 40, 50, 53, 125, 139, 150]
[69, 74, 85, 97, 105, 116, 137, 150]
[5, 23, 64, 65, 106, 127, 130, 150]
[10, 18, 27, 68, 74, 120, 139, 150]
[21, 38, 60, 75, 100, 127, 136, 150]
[18, 48, 49, 72, 77, 104, 117, 150]
[12, 63, 78, 87, 99, 136, 138, 150]
[48, 74, 83, 128, 136, 139, 148, 150]
[15, 27, 38, 90, 94, 120, 139, 150]
[13, 24, 53, 80, 99, 105, 110, 150]
[1, 17, 33, 92, 129, 139, 140, 150]
[41, 67, 116, 134, 140, 141, 149, 150]
[19, 27, 66, 71, 96, 111, 123, 150]
[0, 8, 33, 37, 60, 76, 114, 150]
[4, 20, 22, 82, 114, 135, 147, 150]
[35, 46, 50, 53, 71, 88, 123, 150]
[8, 9, 46, 55, 73, 112, 128, 150]
[2, 12, 58, 116, 125, 131, 142, 150]
[50, 70, 88, 101, 103, 124, 128, 150]
[10, 21, 46, 52, 70, 89, 112, 150]
[24, 35, 71, 72, 78, 114, 135, 150]
[9, 12, 30, 47, 55, 59, 124, 150]
[52, 54, 64, 66, 68, 123, 138, 150]
[0, 29, 30, 55, 95, 105, 124, 150]
[9, 10, 38, 87, 89, 123, 135, 150]
[10, 29, 53, 84, 90, 119, 124, 150]
[20, 71, 72, 83, 100, 116, 135, 150]
[21, 41, 49, 78, 93, 124, 142, 150]
[68, 83, 93, 98, 106, 114, 127, 150]
[28, 34, 43, 58, 74, 77, 131, 150]
[44, 63, 69, 98, 105, 115, 146, 150]
[2, 9, 60, 72, 75, 77, 86, 150]
[33, 43, 49, 64, 79, 91, 96, 150]
[5, 29, 38, 49, 66, 74, 125, 150]
[27, 44, 63, 74, 127, 130, 146, 150]
[6, 7, 12, 42, 57, 125, 138, 150]
[1, 39, 83, 107, 140, 147, 148, 150]
[9, 18, 29, 64, 65, 96, 126, 150]
[11, 42, 71, 72, 74, 124, 142, 150]
[37, 63, 70, 81, 113, 135, 140, 150]
[41, 43, 55, 84, 98, 112, 127, 150]
[14, 17, 32, 96, 125, 135, 140, 150]
[58, 88, 101, 104, 116, 122, 126, 150]
[5, 24, 90, 101, 109, 130, 147, 150]
[15, 24, 47, 85, 129, 143, 146, 150]
[11, 25, 35, 67, 72, 92, 115, 150]
[7, 27, 30, 46, 62, 68, 74, 150]
[18, 51, 71, 77, 95, 112, 132, 150]
[6, 9, 15, 54, 91, 104, 119, 150]
[34, 42, 60, 79, 95, 131, 147, 150]
[10, 24, 46, 52, 69, 70, 128, 150]
[4, 24, 34, 55, 58, 91, 111, 150]
[11, 94, 106, 117, 133, 138, 145, 150]
[1, 61, 65, 104, 106, 114, 132, 150]
[32, 50, 64, 80, 92, 114, 120, 150]
[9, 14, 51, 59, 83, 108, 139, 150]
[44, 56, 62, 69, 86, 98, 126, 150]
[10, 47, 60, 86, 96, 111, 136, 150]
[16, 26, 55, 69, 91, 95, 139, 150]
[1, 22, 66, 75, 122, 130, 146, 150]
[19, 37, 42, 58, 62, 124, 133, 150]
[4, 19, 34, 47, 82, 83, 114, 150]
[15, 44, 54, 85, 88, 113, 125, 150]
[1, 55, 63, 74, 100, 130, 133, 150]
[11, 23, 41, 82, 89, 97, 112, 150]
[3, 84, 88, 89, 110, 116, 121, 150]
[23, 30, 40, 91, 100, 118, 124, 150]
[1, 14, 28, 63, 79, 90, 115, 150]
[3, 22, 27, 57, 94, 110, 112, 150]
[24, 28, 29, 34, 74, 91, 102, 150]
[2, 22, 40, 43, 99, 104, 107, 150]
[3, 21, 32, 55, 101, 112, 119, 150]
[0, 18, 36, 53, 54, 75, 94, 150]
[19, 59, 72, 95, 104, 109, 145, 150]
[71, 87, 116, 123, 133, 140, 147, 150]
[10, 11, 42, 50, 65, 75, 138, 150]
[0, 5, 14, 81, 103, 134, 146, 150]
[2, 5, 70, 85, 106, 138, 149, 150]
[4, 40, 51, 87, 89, 119, 141, 150]
[11, 23, 42, 53, 55, 92, 105, 150]
[20, 23, 45, 49, 80, 116, 124, 150]
