[15, 27, 54, 63, 117, 134, 149, 155, 221, 227]
[15, 41, 75, 95, 101, 149, 150, 193, 215, 227]
[12, 37, 49, 81, 85, 117, 186, 212, 224, 246]
[26, 33, 37, 75, 91, 92, 98, 189, 192, 243]
[9, 11, 81, 85, 111, 130, 138, 153, 192, 243]
[0, 20, 43, 62, 139, 148, 180, 194, 206, 224]
[14, 17, 25, 35, 49, 58, 63, 98, 135, 244]
[51, 65, 115, 130, 142, 147, 163, 192, 207, 246]
[3, 23, 67, 100, 110, 156, 174, 178, 208, 216]
[11, 30, 33, 57, 60, 159, 160, 173, 175, 199]
[31, 38, 74, 113, 123, 137, 144, 193, 217, 221]
[9, 17, 29, 54, 136, 167, 172, 199, 206, 230]
[3, 4, 18, 27, 55, 58, 92, 156, 187, 188]
[12, 60, 64, 66, 74, 108, 123, 158, 170, 181]
[5, 60, 87, 146, 151, 180, 182, 194, 233, 236]
[2, 12, 58, 65, 85, 109, 161, 178, 181, 235]
[5, 45, 46, 54, 55, 123, 124, 162, 176, 231]
[9, 26, 45, 87, 95, 131, 138, 141, 220, 243]
[62, 69, 94, 109, 114, 117, 182, 200, 225, 227]
[7, 20, 27, 64, 74, 103, 134, 137, 158, 174]
[51, 54, 55, 77, 96, 133, 170, 194, 232, 240]
[11, 35, 67, 90, 139, 150, 160, 173, 177, 228]
[63, 80, 97, 103, 117, 160, 164, 166, 170, 190]
[24, 31, 51, 57, 91, 156, 164, 170, 190, 196]
[23, 24, 58, 92, 145, 158, 168, 172, 197, 205]
[30, 58, 84, 87, 102, 132, 145, 171, 173, 181]
[9, 57, 67, 69, 92, 109, 144, 145, 205, 220]
[2, 20, 34, 69, 84, 138, 169, 192, 205, 226]
[49, 86, 99, 111, 112, 144, 189, 204, 227, 228]
[30, 72, 73, 74, 80, 97, 159, 184, 215, 219]
[67, 81, 84, 104, 125, 132, 147, 198, 211, 245]
[4, 12, 20, 34, 36, 41, 92, 102, 133, 217]
[112, 147, 154, 167, 181, 193, 206, 234, 239, 246]
[35, 39, 111, 134, 142, 149, 153, 159, 180, 210]
[20, 24, 35, 38, 45, 49, 91, 175, 180, 188]
[28, 39, 42, 51, 59, 100, 170, 173, 235, 249]
[5, 36, 57, 106, 134, 144, 165, 180, 202, 226]
[43, 69, 71, 72, 90, 102, 111, 155, 209, 232]
[33, 51, 115, 174, 181, 187, 192, 194, 200, 238]
[14, 21, 44, 57, 85, 100, 170, 181, 206, 250]
[4, 45, 50, 54, 71, 73, 172, 178, 226, 229]
[11, 27, 54, 122, 124, 146, 192, 226, 231, 235]
[21, 55, 140, 145, 173, 182, 214, 221, 223, 224]
[33, 101, 108, 113, 119, 134, 204, 220, 240, 246]
[32, 40, 73, 78, 84, 103, 106, 167, 233, 250]
[12, 15, 18, 76, 80, 128, 133, 185, 194, 202]
[88, 92, 113, 120, 154, 190, 206, 222, 233, 238]
[13, 18, 21, 29, 54, 142, 145, 159, 197, 224]
[34, 50, 106, 116, 160, 185, 190, 204, 229, 239]
[43, 78, 100, 166, 182, 192, 209, 216, 220, 226]
[27, 30, 44, 63, 76, 95, 108, 140, 170, 222]
[53, 67, 102, 145, 152, 166, 173, 217, 238, 249]
[17, 103, 109, 114, 143, 175, 190, 222, 228, 243]
[0, 6, 38, 50, 62, 63, 105, 143, 232, 236]
[8, 36, 90, 155, 195, 208, 214, 222, 231, 244]
[61, 100, 108, 129, 141, 148, 200, 203, 208, 218]
[20, 28, 69, 83, 105, 118, 133, 212, 215, 229]
[43, 84, 141, 155, 156, 180, 182, 194, 216, 240]
[11, 34, 45, 77, 104, 117, 124, 138, 164, 171]
[12, 33, 50, 80, 99, 151, 160, 180, 188, 244]
[13, 34, 35, 60, 93, 112, 138, 141, 211, 240]
[14, 41, 58, 73, 99, 116, 121, 150, 165, 213]
[72, 92, 118, 127, 167, 184, 185, 190, 247, 249]
[47, 56, 101, 142, 158, 161, 178, 209, 232, 236]
[1, 2, 45, 78, 148, 184, 206, 207, 210, 234]
[18, 27, 30, 64, 84, 86, 97, 146, 195, 222]
[20, 78, 86, 135, 162, 170, 212, 223, 239, 249]
